Jogo,Ano,Genero,Estudio,America_do_Norte,Europa,Japao,Outros_paises,Global
Grand Theft Auto V,2014,Action,Rockstar Games,6.060,9.710,0.600,3.020,19.390
Call of Duty: Black Ops 3,2015,Shooter,Activision,6.180,6.050,0.410,2.440,15.090
Red Dead Redemption 2,2018,Action-Adventure,Rockstar Games,5.260,6.210,0.210,2.260,13.940
Call of Duty: WWII,2017,Shooter,Activision,4.670,6.210,0.400,2.120,13.400
FIFA 18,2017,Sports,EA Sports,1.270,8.640,0.150,1.730,11.800
FIFA 17,2016,Sports,Electronic Arts,1.260,7.950,0.120,1.610,10.940
Uncharted (PS4),2016,Action,Sony Interactive Entertainment,4.490,3.930,0.210,1.700,10.330
Spider-Man (PS4),2018,Action-Adventure,Sony Interactive Entertainment,3.640,3.390,0.320,1.410,8.760
Call of Duty: Infinite Warfare,2016,Shooter,Activision,3.110,3.830,0.190,1.360,8.480
Fallout 4,2015,Role-Playing,Bethesda Softworks,2.910,3.970,0.270,1.340,8.480
FIFA 16,2015,Sports,EA Sports,1.150,5.770,0.070,1.230,8.220
Star Wars Battlefront 2015,2015,Shooter,Electronic Arts,3.310,3.190,0.230,1.300,8.030
Call of Duty: Advanced Warfare,2014,Shooter,Activision,2.840,3.340,0.140,1.220,7.530
Battlefield 1,2016,Shooter,Electronic Arts,2.200,3.650,0.290,1.120,7.260
The Last of Us,2014,Action-Adventure,Sony Computer Entertainment,2.700,2.860,0.110,1.100,6.770
MineCraft,2014,Misc,Sony Computer Entertainment,1.890,3.130,0.350,0.960,6.330
FIFA 15,2014,Sports,EA Sports,0.830,4.490,0.050,0.940,6.320
God of War (PS4),2018,Action,Sony Interactive Entertainment,2.830,2.170,0.130,1.020,6.150
Horizon: Zero Dawn,2017,Action,Sony Interactive Entertainment,2.200,2.430,0.280,0.920,5.820
Destiny,2014,Shooter,Activision,2.530,2.130,0.160,0.940,5.760
Uncharted: The Nathan Drake Collection,2015,Action,Sony Computer Entertainment,2.550,2.110,0.100,0.940,5.700
The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,1.480,2.820,0.280,0.810,5.390
Final Fantasy XV,2016,Role-Playing,Square Enix,1.810,1.530,1.050,0.680,5.070
Crash Bandicoot N. Sane Trilogy,2017,Platform,Activision,1.090,2.920,0.070,0.740,4.830
Monster Hunter: World,2018,Action,Capcom,1.030,1.060,2.170,0.420,4.670
Overwatch,2016,Shooter,Blizzard Entertainment,1.840,1.800,0.170,0.730,4.540
Star Wars Battlefront II (2017),2017,Shooter,Electronic Arts,1.700,1.990,0.120,0.730,4.530
Tom Clancy's The Division,2016,Shooter,Ubisoft,1.490,2.040,0.160,0.690,4.370
Tom Clancy's Rainbow Six: Siege,2015,Shooter,Ubisoft,1.290,2.060,0.360,0.640,4.360
Watch Dogs,2014,Action-Adventure,Ubisoft,1.400,2.130,0.110,0.680,4.320
Call of Duty: Ghosts,2013,Shooter,Activision,1.790,1.640,0.050,0.690,4.170
Assassin's Creed: Unity,2014,Action,Ubisoft,1.250,2.160,0.090,0.650,4.140
Destiny 2,2017,Shooter,Activision,1.920,1.440,0.100,0.690,4.140
Batman: Arkham Knight,2015,Action,Warner Bros. Interactive,1.650,1.680,0.110,0.660,4.110
Assassin's Creed Origins,2017,Action,Ubisoft,1.220,2.110,0.110,0.630,4.060
Far Cry 4,2014,Shooter,Ubisoft,1.180,2.140,0.110,0.630,4.060
NBA 2K16,2015,Sports,2K Sports,2.560,0.660,0.050,0.710,3.980
